Scenario - mult1A.sce
Logfile written - 06/28/2017 12:19:55

Subject	Trial	Event Type	Code	block(str)	triplet(str)	object(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
00	79	Picture	t17;7	t17;7			855637	0	1	8105	1	0	8000	other	0
00	80	Picture	t14;2	t14;2			865743	0	1	8105	1	0	8000	other	0
00	81	Picture	t8;2	t8;2			875850	0	1	8105	1	0	8000	other	0
00	82	Picture	t6;2	t6;2			885956	0	1	8105	1	0	8000	other	0
00	83	Picture	t22;8	t22;8			896063	0	1	8105	1	0	8000	other	0
00	84	Picture	t2;8	t2;8			906169	0	1	8105	1	0	8000	other	0
00	85	Picture	t16;8	t16;8			916275	0	1	8105	1	0	8000	other	0
00	86	Picture	t1;5	t1;5			926382	0	1	8105	1	0	8000	other	0
00	87	Picture	t4;5	t4;5			936488	0	1	8105	1	0	8000	other	0
00	88	Picture	t9;5	t9;5			946595	0	1	8105	1	0	8000	other	0
00	89	Picture	t5;1	t5;1			956701	0	1	8105	1	0	8000	other	0
00	90	Picture	t21;1	t21;1			966807	0	1	8105	1	0	8000	other	0
00	91	Picture	t18;1	t18;1			976914	0	1	8105	1	0	8000	other	0
00	92	Picture	t24;3	t24;3			987020	0	1	8105	1	0	8000	other	0
00	93	Picture	t10;3	t10;3			997127	0	1	8105	1	0	8000	other	0
00	94	Picture	t19;3	t19;3			1007233	0	1	8105	1	0	8000	other	0
00	95	Picture	t20;4	t20;4			1017340	0	1	8105	1	0	8000	other	0
00	96	Picture	t15;4	t15;4			1027446	0	1	8105	1	0	8000	other	0
00	97	Picture	t7;4	t7;4			1037552	0	1	8105	1	0	8000	other	0
00	98	Picture	t22;8	t22;8			1047659	0	1	8105	1	0	8000	other	0
00	99	Picture	t2;8	t2;8			1057765	0	1	8105	1	0	8000	other	0
00	100	Picture	t16;8	t16;8			1067872	0	1	8105	1	0	8000	other	0
00	101	Picture	t24;3	t24;3			1077978	0	1	8105	1	0	8000	other	0
00	102	Picture	t10;3	t10;3			1088085	0	1	8105	1	0	8000	other	0
00	103	Picture	t19;3	t19;3			1098191	0	1	8105	1	0	8000	other	0
00	104	Picture	t13;6	t13;6			1108297	0	1	8105	1	0	8000	other	0
00	105	Picture	t12;6	t12;6			1118404	0	1	8105	1	0	8000	other	0
00	106	Picture	t3;6	t3;6			1128510	0	1	8105	1	0	8000	other	0
00	107	Picture	t1;5	t1;5			1138617	0	1	8105	1	0	8000	other	0
00	108	Picture	t4;5	t4;5			1148723	0	1	8105	1	0	8000	other	0
00	109	Picture	t9;5	t9;5			1158829	0	1	8105	1	0	8000	other	0
00	110	Picture	t14;2	t14;2			1168936	0	1	8105	1	0	8000	other	0
00	111	Picture	t8;2	t8;2			1179042	0	1	8105	1	0	8000	other	0
00	112	Picture	t6;2	t6;2			1189149	0	1	8105	1	0	8000	other	0
00	113	Picture	t20;4	t20;4			1199255	0	1	8105	1	0	8000	other	0
00	114	Picture	t15;4	t15;4			1209362	0	1	8105	1	0	8000	other	0
00	115	Picture	t7;4	t7;4			1219468	0	1	8105	1	0	8000	other	0
00	116	Picture	t11;7	t11;7			1229574	0	1	8105	1	0	8000	other	0
00	117	Picture	t23;7	t23;7			1239681	0	1	8105	1	0	8000	other	0
00	118	Picture	t17;7	t17;7			1249787	0	1	8105	1	0	8000	other	0
00	119	Picture	t5;1	t5;1			1259894	0	1	8105	1	0	8000	other	0
00	120	Picture	t21;1	t21;1			1270000	0	1	8105	1	0	8000	other	0
00	121	Picture	t18;1	t18;1			1280106	0	1	8105	1	0	8000	other	0
00	122	Picture	t22;8	t22;8			1290213	0	1	8105	1	0	8000	other	0
00	123	Picture	t2;8	t2;8			1300319	0	1	8105	1	0	8000	other	0
00	124	Picture	t16;8	t16;8			1310426	0	1	8105	1	0	8000	other	0
00	125	Picture	t20;4	t20;4			1320532	0	1	8105	1	0	8000	other	0
00	126	Picture	t15;4	t15;4			1330639	0	1	8105	1	0	8000	other	0
00	127	Picture	t7;4	t7;4			1340745	0	1	8105	1	0	8000	other	0
00	128	Picture	t11;7	t11;7			1350851	0	1	8105	1	0	8000	other	0
00	129	Picture	t23;7	t23;7			1360958	0	1	8105	1	0	8000	other	0
00	130	Picture	t17;7	t17;7			1371064	0	1	8105	1	0	8000	other	0
00	131	Picture	t13;6	t13;6			1381171	0	1	8105	1	0	8000	other	0
00	132	Picture	t12;6	t12;6			1391277	0	1	8105	1	0	8000	other	0
00	133	Picture	t3;6	t3;6			1401384	0	1	8105	1	0	8000	other	0
00	134	Picture	t14;2	t14;2			1411490	0	1	8105	1	0	8000	other	0
00	135	Picture	t8;2	t8;2			1421596	0	1	8105	1	0	8000	other	0
00	136	Picture	t6;2	t6;2			1431703	0	1	8105	1	0	8000	other	0
00	137	Picture	t5;1	t5;1			1441809	0	1	8105	1	0	8000	other	0
00	138	Picture	t21;1	t21;1			1451916	0	1	8105	1	0	8000	other	0
00	139	Picture	t18;1	t18;1			1462022	0	1	8105	1	0	8000	other	0
00	140	Picture	t1;5	t1;5			1472128	0	1	8105	1	0	8000	other	0
00	141	Picture	t4;5	t4;5			1482235	0	1	8105	1	0	8000	other	0
00	142	Picture	t9;5	t9;5			1492341	0	1	8105	1	0	8000	other	0
00	143	Picture	t24;3	t24;3			1502448	0	1	8105	1	0	8000	other	0
00	144	Picture	t10;3	t10;3			1512554	0	1	8105	1	0	8000	other	0
00	145	Picture	t19;3	t19;3			1522661	0	1	8105	1	0	8000	other	0
00	146	Picture	t13;6	t13;6			1532767	0	1	8105	1	0	8000	other	0
00	147	Picture	t12;6	t12;6			1542873	0	1	8105	1	0	8000	other	0
00	148	Picture	t3;6	t3;6			1552980	0	1	8105	1	0	8000	other	0
00	149	Picture	t14;2	t14;2			1563086	0	1	8105	1	0	8000	other	0
00	150	Picture	t8;2	t8;2			1573193	0	1	8105	1	0	8000	other	0
00	151	Picture	t6;2	t6;2			1583299	0	1	8105	1	0	8000	other	0
00	152	Picture	t20;4	t20;4			1593406	0	1	8105	1	0	8000	other	0
00	153	Picture	t15;4	t15;4			1603512	0	1	8105	1	0	8000	other	0
00	154	Picture	t7;4	t7;4			1613618	0	1	8105	1	0	8000	other	0
00	155	Picture	t1;5	t1;5			1623725	0	1	8105	1	0	8000	other	0
00	156	Picture	t4;5	t4;5			1633831	0	1	8105	1	0	8000	other	0
00	157	Picture	t9;5	t9;5			1643938	0	1	8105	1	0	8000	other	0
00	158	Picture	t5;1	t5;1			1654044	0	1	8105	1	0	8000	other	0
00	159	Picture	t21;1	t21;1			1664150	0	1	8105	1	0	8000	other	0
00	160	Picture	t18;1	t18;1			1674257	0	1	8105	1	0	8000	other	0
00	161	Picture	t22;8	t22;8			1684363	0	1	8105	1	0	8000	other	0
00	162	Picture	t2;8	t2;8			1694470	0	1	8105	1	0	8000	other	0
00	163	Picture	t16;8	t16;8			1704576	0	1	8105	1	0	8000	other	0
00	164	Picture	t24;3	t24;3			1714683	0	1	8105	1	0	8000	other	0
00	165	Picture	t10;3	t10;3			1724789	0	1	8105	1	0	8000	other	0
00	166	Picture	t19;3	t19;3			1734895	0	1	8105	1	0	8000	other	0
00	167	Picture	t11;7	t11;7			1745002	0	1	8105	1	0	8000	other	0
00	168	Picture	t23;7	t23;7			1755108	0	1	8105	1	0	8000	other	0
00	169	Picture	t17;7	t17;7			1765215	0	1	8105	1	0	8000	other	0
00	170	Picture	t24;3	t24;3			1775321	0	1	8105	1	0	8000	other	0
00	171	Picture	t10;3	t10;3			1785427	0	1	8105	1	0	8000	other	0
00	172	Picture	t19;3	t19;3			1795534	0	1	8105	1	0	8000	other	0
00	173	Picture	t20;4	t20;4			1805640	0	1	8105	1	0	8000	other	0
00	174	Picture	t15;4	t15;4			1815747	0	1	8105	1	0	8000	other	0
00	175	Picture	t7;4	t7;4			1825853	0	1	8105	1	0	8000	other	0
00	176	Picture	t1;5	t1;5			1835959	0	1	8105	1	0	8000	other	0
00	177	Picture	t4;5	t4;5			1846066	0	1	8105	1	0	8000	other	0
00	178	Picture	t9;5	t9;5			1856172	0	1	8105	1	0	8000	other	0
00	179	Picture	t22;8	t22;8			1866279	0	1	8105	1	0	8000	other	0
00	180	Picture	t2;8	t2;8			1876385	0	1	8105	1	0	8000	other	0
00	181	Picture	t16;8	t16;8			1886492	0	1	8105	1	0	8000	other	0
00	182	Picture	t13;6	t13;6			1896598	0	1	8105	1	0	8000	other	0
00	183	Picture	t12;6	t12;6			1906705	0	1	8105	1	0	8000	other	0
00	184	Picture	t3;6	t3;6			1916811	0	1	8105	1	0	8000	other	0
00	185	Picture	t5;1	t5;1			1926917	0	1	8105	1	0	8000	other	0
00	186	Picture	t21;1	t21;1			1937024	0	1	8105	1	0	8000	other	0
00	187	Picture	t18;1	t18;1			1947130	0	1	8105	1	0	8000	other	0
00	188	Picture	t11;7	t11;7			1957237	0	1	8105	1	0	8000	other	0
00	189	Picture	t23;7	t23;7			1967343	0	1	8105	1	0	8000	other	0
00	190	Picture	t17;7	t17;7			1977449	0	1	8105	1	0	8000	other	0
00	191	Picture	t14;2	t14;2			1987556	0	1	8105	1	0	8000	other	0
00	192	Picture	t8;2	t8;2			1997662	0	1	8105	1	0	8000	other	0
00	193	Picture	t6;2	t6;2			2007769	0	1	8105	1	0	8000	other	0
00	194	Picture	t13;6	t13;6			2017875	0	1	8105	1	0	8000	other	0
00	195	Picture	t12;6	t12;6			2027982	0	1	8105	1	0	8000	other	0
00	196	Picture	t3;6	t3;6			2038088	0	1	8105	1	0	8000	other	0
00	197	Picture	t20;4	t20;4			2048194	0	1	8105	1	0	8000	other	0
00	198	Picture	t15;4	t15;4			2058301	0	1	8105	1	0	8000	other	0
00	199	Picture	t7;4	t7;4			2068407	0	1	8105	1	0	8000	other	0
00	200	Picture	t24;3	t24;3			2078514	0	1	8105	1	0	8000	other	0
00	201	Picture	t10;3	t10;3			2088620	0	1	8105	1	0	8000	other	0
00	202	Picture	t19;3	t19;3			2098726	0	1	8105	1	0	8000	other	0
00	203	Picture	t1;5	t1;5			2108833	0	1	8105	1	0	8000	other	0
00	204	Picture	t4;5	t4;5			2118939	0	1	8105	1	0	8000	other	0
00	205	Picture	t9;5	t9;5			2129046	0	1	8105	1	0	8000	other	0
00	206	Picture	t5;1	t5;1			2139152	0	1	8105	1	0	8000	other	0
00	207	Picture	t21;1	t21;1			2149259	0	1	8105	1	0	8000	other	0
00	208	Picture	t18;1	t18;1			2159365	0	1	8105	1	0	8000	other	0
00	209	Picture	t14;2	t14;2			2169471	0	1	8105	1	0	8000	other	0
00	210	Picture	t8;2	t8;2			2179578	0	1	8105	1	0	8000	other	0
00	211	Picture	t6;2	t6;2			2189684	0	1	8105	1	0	8000	other	0
00	212	Picture	t11;7	t11;7			2199791	0	1	8105	1	0	8000	other	0
